GCM,run,scenario,1.5,2.0,2.5,3.0,4.0
CNRM-ESM2-1,r2i1p1f2,ssp245,2053-12-16 12:00:00,2069-06-16 00:00:00,2082-09-16 00:00:00,,
CNRM-ESM2-1,r8i1p1f2,ssp245,2042-10-16 12:00:00,2057-10-16 12:00:00,2071-09-16 00:00:00,2086-05-16 12:00:00,
CNRM-ESM2-1,r4i1p1f2,ssp585,2034-07-16 12:00:00,2043-09-16 00:00:00,2052-11-16 00:00:00,2061-05-16 12:00:00,2076-12-16 12:00:00
CNRM-ESM2-1,r4i1p1f2,ssp370,2038-02-15 00:00:00,2050-12-16 12:00:00,2063-09-16 00:00:00,2073-05-16 12:00:00,2089-07-16 12:00:00
CNRM-ESM2-1,r4i1p1f2,ssp245,2036-03-16 12:00:00,2048-10-16 12:00:00,2068-02-15 12:00:00,2089-01-16 12:00:00,
CNRM-ESM2-1,r5i1p1f2,ssp585,2039-09-16 00:00:00,2049-04-16 00:00:00,2058-04-16 00:00:00,2065-09-16 00:00:00,2079-01-16 12:00:00
CNRM-ESM2-1,r5i1p1f2,ssp370,2044-01-16 12:00:00,2054-01-16 12:00:00,2063-06-16 00:00:00,2072-09-16 00:00:00,2088-12-16 12:00:00
CNRM-ESM2-1,r5i1p1f2,ssp245,2042-12-16 12:00:00,2058-09-16 00:00:00,2077-03-16 12:00:00,,
CNRM-ESM2-1,r10i1p1f2,ssp245,2057-12-16 12:00:00,2070-09-16 00:00:00,2083-02-15 00:00:00,,
CNRM-ESM2-1,r3i1p1f2,ssp585,2039-11-16 00:00:00,2049-08-16 12:00:00,2057-05-16 12:00:00,2064-01-16 12:00:00,2077-05-16 12:00:00
CNRM-ESM2-1,r3i1p1f2,ssp370,2043-12-16 12:00:00,2053-10-16 12:00:00,2062-01-16 12:00:00,2069-10-16 12:00:00,2086-10-16 12:00:00
CNRM-ESM2-1,r3i1p1f2,ssp245,2044-06-16 00:00:00,2054-09-16 00:00:00,2066-08-16 12:00:00,2085-11-16 00:00:00,
CNRM-ESM2-1,r7i1p1f2,ssp245,2058-06-16 00:00:00,2071-06-16 00:00:00,2085-03-16 12:00:00,,
CNRM-ESM2-1,r9i1p1f2,ssp245,2043-03-16 12:00:00,2055-10-16 12:00:00,2068-11-16 00:00:00,2088-09-16 00:00:00,
CanESM5,r9i1p1f1,ssp585,2024-01-16 12:00:00,2032-10-16 12:00:00,2041-08-16 12:00:00,2049-03-16 12:00:00,2060-12-16 12:00:00
CanESM5,r9i1p1f1,ssp370,2026-03-16 12:00:00,2035-02-15 00:00:00,2043-06-16 00:00:00,2051-10-16 12:00:00,2067-04-16 00:00:00
