era-id,latitude,longitude,elevation,start-date,end-date,network,total_nobs
ASOSAWOS_72391093111,34.124,-119.123,3.6576,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,436271
ASOSAWOS_72392523190,34.424,-119.842,2.4384,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,494638
ASOSAWOS_72392623136,34.211,-119.088,21.6408,2005-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,197424
ASOSAWOS_72392793110,34.2,-119.204,11.8872,1944-04-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,385203
ASOSAWOS_72393093214,34.717,-120.567,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,256855
ASOSAWOS_72394023273,34.894,-120.452,74.0664,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,559784
ASOSAWOS_72396593209,35.669,-120.629,249.936,1941-12-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,488951
ASOSAWOS_72429300376,40.46,-106.76,3241.2432,2005-03-22 00:00:00+00:00,2014-07-21 00:00:00+00:00,ASOSAWOS,153145
ASOSAWOS_72462023061,37.439,-105.862,2297.2776,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,501289
ASOSAWOS_72462593005,37.143,-107.76,2020.5192,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,182629
ASOSAWOS_72462703011,37.95,-107.9,2770.9368,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,409248
ASOSAWOS_72463523067,38.049,-103.513,1278.636,1942-11-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,474189
ASOSAWOS_72463603013,38.072,-102.687,1124.1024,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,179386
ASOSAWOS_72464093058,38.289,-104.506,1424.6352,1942-10-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,515139
ASOSAWOS_72464523070,37.262,-104.332,1749.2472,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,469653
ASOSAWOS_72464603028,37.283,-102.614,1337.1576,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,152969
ASOSAWOS_72466093037,38.809,-104.689,1884.2736,1942-09-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,507231
ASOSAWOS_72466593010,39.273,-103.667,1633.1184,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,343283
ASOSAWOS_72466693067,39.56,-104.848,1789.176,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,172580
ASOSAWOS_72467003017,39.833,-104.658,NaN,1974-11-13 00:00:00+00:00,1994-05-29 00:00:00+00:00,ASOSAWOS,4293
ASOSAWOS_72467393009,39.228,-106.316,3030.6264,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,211744
ASOSAWOS_72467494050,40.044,-107.888,1940.6616,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,187102
